716.2	125.0	726.7	129.2	point
705.8	140.7	713.9	145.0	vdp
715.1	140.7	728.8	145.0	screen
502.5	142.6	512.2	148.6	SB4
570.2	424.8	576.2	434.4	SB7
466.9	259.5	476.5	265.4	SB8
754.9	370.0	757.4	375.1	S
385.5	384.2	388.9	394.5	space
385.5	378.9	388.9	383.2	for
390.1	379.8	393.5	393.3	washing
394.6	379.3	398.0	394.0	machine
490.3	315.0	500.2	320.1	mini
488.1	321.3	502.5	326.3	fridge
524.6	317.2	530.1	318.9	coffee
523.6	319.4	531.0	321.0	machine
535.3	318.0	554.0	323.1	storage
462.4	318.0	481.2	323.1	storage
243.0	599.6	258.3	605.4	LIGHT
259.9	599.6	282.3	605.4	LEGEND
189.6	611.7	206.4	616.0	SYMBOL
222.2	611.7	255.4	616.0	SPECIFICATIONS
209.4	621.5	219.1	625.8	COB
220.3	621.5	234.6	625.8	DOWN
235.8	621.5	252.2	625.8	LIGHTER
209.2	626.7	231.3	631.0	DIMMABLE
232.5	626.7	235.8	631.0	&
237.0	626.7	254.8	631.0	TUNABLE
256.0	626.7	266.3	631.0	-15W
210.7	636.5	218.2	640.8	LED
219.4	636.5	235.7	640.8	PROFILE
210.7	648.9	227.0	653.2	PROFILE
228.2	648.9	241.8	653.2	LIGHTS
243.0	648.9	254.5	653.2	LIGHT
210.2	661.9	226.9	666.3	CEILING
228.1	661.9	236.6	666.3	FAN
211.6	687.7	223.1	692.1	FOOT
224.3	687.7	235.8	692.1	LIGHT
210.2	699.5	231.2	703.8	HANGING
232.4	699.5	243.9	703.8	LIGHT
196.4	676.3	198.3	679.0	U
210.9	676.5	219.1	680.8	WIFI
220.3	676.5	242.6	680.8	EXTENSION
291.3	649.2	293.7	653.5	7
294.9	649.2	305.9	653.5	WATT
307.1	649.2	316.8	653.5	COB
211.8	714.0	223.1	718.3	WALL
224.3	714.0	241.6	718.3	WASHER
211.9	724.9	223.2	729.3	WALL
224.4	724.9	235.9	729.3	LIGHT
237.1	724.9	249.4	729.3	POINT
291.3	623.8	309.2	628.1	EXHAUST
310.4	623.8	318.9	628.1	FAN
291.4	636.7	308.1	641.1	CEILING
309.3	636.7	327.2	641.1	EXHAUST
271.8	611.7	288.6	616.0	SYMBOL
299.1	611.7	332.3	616.0	SPECIFICATIONS
293.1	724.1	302.6	728.4	SPLIT
303.8	724.1	310.5	728.4	AC
311.7	724.1	320.5	728.4	UNIT
291.6	675.3	307.1	679.6	SWITCH
308.3	675.3	323.5	679.6	BOARD
291.4	685.1	325.5	689.4	WEATHERPROOF
291.6	690.3	307.1	694.6	SWITCH
308.3	690.3	323.5	694.6	BOARD
291.6	700.6	293.9	704.9	2
295.1	700.6	305.0	704.9	WAY
306.2	700.6	326.2	704.9	LOOPING
291.4	712.2	300.7	716.5	ONE
301.9	712.2	311.8	716.5	WAY
313.0	712.2	332.9	716.5	LOOPING
277.7	663.9	279.8	665.6	C
209.8	736.7	221.3	741.0	LIGHT
222.5	736.7	238.7	741.0	SENSOR
293.6	662.2	312.4	666.5	CAMERA
848.2	519.6	853.7	524.7	SB
855.1	519.6	863.6	524.7	No.
871.0	516.5	876.5	521.6	SB
877.9	516.5	884.5	521.6	Ht.
867.7	522.7	878.9	527.8	from
